0	1.00E+10
1.5	1.00E+10
3	1.00E+10
4.5	1.00E+10
6	1.00E+10
7.5	1.00E+10
9	1.00E+10
10.5	1.00E+10
12	1.00E+10
13.5	1.00E+10
15	1.00E+10
16.5	1.00E+10
18	1.00E+10
19.5	1.00E+10
21	1.00E+10
22.5	1.00E+10
24	1.00E+10
25.5	1.00E+10
27	1.00E+10
28.5	1.00E+10
30	1.00E+10
31.5	1.00E+10
33	1.00E+10
34.5	1.00E+10
36	1.00E+10
37.5	1.00E+10
39	1.00E+10
40.5	1.00E+10
42	1.00E+10
43.5	1.00E+10
45	1.00E+10
46.5	1.00E+10
48	1.00E+10
49.5	1.00E+10
51	1.00E+10
52.5	1.00E+10
54	1.00E+10
55.5	1.00E+10
57	1.00E+10
58.5	1.00E+10
60	1.00E+10
61.5	1.00E+10
63	1.00E+10
64.5	1.00E+10
66	1.00E+10
67.5	1.00E+10
69	1.00E+10
70.5	1.00E+10
72	1.00E+10
73.5	1.00E+10
75	1.00E+10
76.5	1.00E+10
78	1.00E+10
79.5	1.00E+10
81	1.00E+10
82.5	1.00E+10
84	1.00E+10
85.5	1.00E+10
87	1.00E+10
88.5	1.00E+10
90	1.00E+10
91.5	1.00E+10
93	1.00E+10
94.5	1.00E+10
96	1.00E+10
97.5	1.00E+10
99	1.00E+10
100.5	1.00E+10
102	1.00E+10
103.5	1.00E+10
105	1.00E+10
106.5	1.00E+10
108	1.00E+10
109.5	1.00E+10
111	1.00E+10
112.5	1.00E+10
114	1.00E+10
115.5	1.00E+10
117	1.00E+10
118.5	1.00E+10
120	1.00E+10
121.5	1.00E+10
122.5	3.55E+14
124	9.58E+14
125.5	2.06E+15
127	3.73E+15
128.5	6.09E+15
130	9.86E+15
131.5	1.54E+16
133	2.26E+16
134.5	3.38E+16
136	4.92E+16
137.5	7.47E+16
139	1.19E+17
140.5	1.93E+17
142	2.77E+17
143.5	3.93E+17
145	5.25E+17
146.5	6.76E+17
148	9.35E+17
149.5	1.26E+18
151	1.65E+18
152.5	2.22E+18
154	3.03E+18
155.5	4.18E+18
157	5.76E+18
158.5	8.05E+18
160	1.07E+19
161.5	1.42E+19
163	1.83E+19
164.5	2.25E+19
166	2.65E+19
167.5	3.18E+19
169	3.79E+19
170.5	4.44E+19
172	5.18E+19
173.5	5.95E+19
175	6.60E+19
176.5	7.11E+19
178	7.93E+19
179.5	8.63E+19
181	9.27E+19
182.5	1.05E+20
184	1.08E+20
185.5	1.13E+20
187	1.21E+20
188.5	1.21E+20
190	1.19E+20
191.5	1.23E+20
193	1.29E+20
194.5	1.32E+20
196	1.30E+20
197.5	1.39E+20
199	1.39E+20
200.5	1.36E+20
202	1.37E+20
203.5	1.40E+20
205	1.47E+20
206.5	1.46E+20
208	1.47E+20
209.5	1.48E+20
211	1.39E+20
212.5	1.38E+20
214	1.33E+20
215.5	1.27E+20
217	1.20E+20
218.5	1.11E+20
220	1.11E+20
