0	2.72E+19
1.5	2.72E+19
3	3.22E+19
4.5	3.57E+19
6	3.61E+19
7.5	3.64E+19
9	3.62E+19
10.5	3.52E+19
12	3.47E+19
13.5	3.54E+19
15	3.48E+19
16.5	3.49E+19
18	3.37E+19
19.5	3.41E+19
21	3.17E+19
22.5	3.11E+19
24	3.08E+19
25.5	3.04E+19
27	2.90E+19
28.5	2.69E+19
30	2.49E+19
31.5	2.22E+19
33	2.02E+19
34.5	1.85E+19
36	1.63E+19
37.5	1.46E+19
39	1.27E+19
40.5	1.04E+19
42	8.61E+18
43.5	6.85E+18
45	5.77E+18
46.5	4.60E+18
48	3.71E+18
49.5	3.03E+18
51	2.50E+18
52.5	2.00E+18
54	1.63E+18
55.5	1.39E+18
57	1.13E+18
58.5	8.77E+17
60	6.80E+17
61.5	4.91E+17
63	3.66E+17
64.5	2.53E+17
66	1.80E+17
67.5	1.24E+17
69	8.98E+16
70.5	6.39E+16
72	4.80E+16
73.5	3.35E+16
75	2.32E+16
76.5	1.72E+16
78	1.16E+16
79.5	8.05E+15
81	5.55E+15
82.5	3.78E+15
84	2.62E+15
85.5	1.93E+15
87	1.38E+15
88.5	1.02E+15
90	7.88E+14
91.5	6.56E+14
93	5.56E+14
94.5	4.88E+14
96	4.36E+14
97.5	4.08E+14
99	3.89E+14
100.5	3.76E+14
102	3.60E+14
103.5	3.42E+14
105	3.32E+14
106.5	3.17E+14
108	3.44E+14
109.5	3.44E+14
111	3.42E+14
112.5	3.45E+14
114	3.41E+14
115.5	3.45E+14
117	3.37E+14
118.5	3.36E+14
120	3.33E+14
121.5	3.28E+14
123	3.16E+14
124.5	3.09E+14
126	3.04E+14
127.5	3.04E+14
129	3.04E+14
130.5	3.04E+14
132	3.04E+14
133.5	3.04E+14
135	3.04E+14
136.5	3.04E+14
138	3.04E+14
139.5	3.04E+14
141	3.04E+14
142.5	3.04E+14
144	3.04E+14
145.5	3.04E+14
147	3.04E+14
148.5	3.04E+14
150	3.04E+14
151.5	3.04E+14
153	3.04E+14
154.5	3.04E+14
156	3.04E+14
157.5	3.04E+14
159	3.04E+14
160.5	3.04E+14
162	3.04E+14
163.5	3.04E+14
165	3.04E+14
166.5	3.04E+14
168	3.04E+14
169.5	3.04E+14
171	3.04E+14
172.5	3.04E+14
174	3.04E+14
175.5	3.04E+14
177	3.04E+14
178.5	3.04E+14
180	3.04E+14
181.5	3.04E+14
183	3.04E+14
184.5	3.04E+14
186	3.04E+14
187.5	3.04E+14
189	3.04E+14
190.5	3.04E+14
192	3.04E+14
193.5	3.04E+14
195	3.04E+14
196.5	3.04E+14
198	3.04E+14
199.5	3.04E+14
201	3.04E+14
202.5	3.04E+14
204	3.04E+14
205.5	3.04E+14
207	3.04E+14
208.5	3.04E+14
210	3.04E+14
211.5	3.04E+14
213	3.04E+14
214.5	3.04E+14
216	3.04E+14
217.5	3.04E+14
219	3.04E+14
220	3.04E+14
